,batch,1,2,3,4,5,6,7,8,9,10
         train/box_loss,32,1.1747,0.9863,1.004,1.0185,0.95133,0.9464,0.88412,0.82715,0.78524,0.75185
         train/seg_loss,32,3.1721,2.0444,1.9467,1.7924,1.6572,1.6157,1.5581,1.4629,1.3728,1.2409
         train/cls_loss,32,3.7892,2.8855,2.5452,2.3293,2.0598,1.999,1.8104,1.6582,1.5861,1.4755
         train/dfl_loss,32,1.5901,1.4297,1.4114,1.4041,1.3637,1.3471,1.3122,1.2407,1.2186,1.1858
   metrics/precision(B),32,0.00536,0.00582,0.91409,0.80084,0.55222,0.63954,0.61803,0.67924,0.74363,0.78345
      metrics/recall(B),32,0.89587,0.90128,0.11441,0.23649,0.47083,0.57337,0.70192,0.70633,0.70264,0.73645
       metrics/mAP50(B),32,0.16427,0.23182,0.36055,0.47425,0.5485,0.66356,0.72512,0.73811,0.78903,0.82708
    metrics/mAP50-95(B),32,0.09303,0.14506,0.21932,0.29979,0.34227,0.44599,0.51246,0.53541,0.58611,0.62133
   metrics/precision(M),32,0.00479,0.0051,0.89606,0.79216,0.533,0.62495,0.59487,0.64292,0.71736,0.75114
      metrics/recall(M),32,0.85278,0.86339,0.10886,0.23186,0.45872,0.56642,0.6802,0.67528,0.68939,0.71003
       metrics/mAP50(M),32,0.13874,0.21351,0.32651,0.45349,0.53084,0.63722,0.69527,0.67925,0.75102,0.7854
    metrics/mAP50-95(M),32,0.0858,0.13105,0.23858,0.33222,0.38763,0.48468,0.51859,0.53182,0.59911,0.62795
           val/box_loss,32,1.1634,1.3241,1.4094,1.315,1.417,1.2375,1.1902,1.0726,1.0237,1.0249
           val/seg_loss,32,3.0663,3.8037,2.9064,2.7848,2.642,2.1834,2.2031,2.1641,1.9156,1.8304
           val/cls_loss,32,3.7566,3.4693,3.3029,3.085,2.7932,2.4831,2.0799,1.9634,1.7514,1.6655
           val/dfl_loss,32,1.6709,1.843,1.8568,1.724,1.8844,1.6102,1.5443,1.4318,1.3809,1.3477
                 lr/pg0,32,0.00014,0.00026129,0.00035288,0.00041477,0.00044696,0.00044945,0.000406,0.000307,0.000208,0.000109
                 lr/pg1,32,0.00014,0.00026129,0.00035288,0.00041477,0.00044696,0.00044945,0.000406,0.000307,0.000208,0.000109
                 lr/pg2,32,0.00014,0.00026129,0.00035288,0.00041477,0.00044696,0.00044945,0.000406,0.000307,0.000208,0.000109
         train/box_loss,64,1.2888,0.94894,0.88584,0.91226,0.89704,0.89234,0.83009,0.79133,0.77192,0.74866
         train/seg_loss,64,3.661,2.3731,1.8316,1.6868,1.5826,1.5928,1.5075,1.3921,1.3265,1.2652
         train/cls_loss,64,3.9371,3.4543,2.8079,2.4956,2.3785,2.2033,2.0083,1.8374,1.7383,1.6456
         train/dfl_loss,64,1.6663,1.4174,1.3354,1.3354,1.3096,1.2918,1.2747,1.2208,1.1959,1.1823
   metrics/precision(B),64,0.0053,0.00539,0.00592,0.00592,0.01067,0.78519,0.74573,0.78838,0.84131,0.81847
      metrics/recall(B),64,0.88034,0.88177,0.89872,0.9114,0.93405,0.08491,0.22693,0.36537,0.46707,0.62265
       metrics/mAP50(B),64,0.10323,0.2014,0.27828,0.27178,0.34457,0.52185,0.57522,0.68926,0.75107,0.77604
    metrics/mAP50-95(B),64,0.05843,0.11073,0.13572,0.14265,0.20197,0.32907,0.40852,0.46485,0.53501,0.56029
   metrics/precision(M),64,0.00495,0.00479,0.00521,0.00524,0.00953,0.78519,0.6763,0.76032,0.83432,0.80106
      metrics/recall(M),64,0.84722,0.83789,0.84886,0.85755,0.88967,0.08491,0.21839,0.35754,0.4537,0.61268
       metrics/mAP50(M),64,0.08272,0.17499,0.22936,0.22768,0.30589,0.49507,0.55047,0.63909,0.71549,0.74321
    metrics/mAP50-95(M),64,0.0517,0.12202,0.13575,0.11918,0.19931,0.3664,0.42369,0.49376,0.55138,0.58874
           val/box_loss,64,1.0945,1.2173,1.3355,1.3853,1.2019,1.0949,1.0459,1.1165,1.0185,1.0403
           val/seg_loss,64,2.6128,2.9242,3.8989,3.5091,2.9717,2.4062,2.1669,2.2649,2.1576,2.0394
           val/cls_loss,64,3.7572,3.772,3.56,3.5766,3.3656,3.147,2.9167,2.8315,2.6617,2.4169
           val/dfl_loss,64,1.5741,1.6879,1.9072,1.8129,1.6077,1.4859,1.403,1.4884,1.3731,1.3774
                 lr/pg0,64,7e-05,0.00013515,0.00018446,0.00021793,0.00023556,0.00023735,0.0002233,0.00019341,0.00014768,8.611e-05
                 lr/pg1,64,7e-05,0.00013515,0.00018446,0.00021793,0.00023556,0.00023735,0.0002233,0.00019341,0.00014768,8.611e-05
                 lr/pg2,64,7e-05,0.00013515,0.00018446,0.00021793,0.00023556,0.00023735,0.0002233,0.00019341,0.00014768,8.611e-05
         train/box_loss,128,1.4298,1.1632,0.90381,0.85738,0.84632,0.8266,0.81582,0.7921,0.78443,0.75681
         train/seg_loss,128,4.0566,3.165,2.3682,1.9959,1.8306,1.6567,1.5644,1.4421,1.439,1.372
         train/cls_loss,128,4.0178,3.8353,3.5513,3.2124,2.9106,2.7289,2.4752,2.3609,2.2744,2.1974
         train/dfl_loss,128,1.7567,1.5741,1.3747,1.3234,1.3168,1.2901,1.2909,1.2587,1.2343,1.2124
   metrics/precision(B),128,0.00537,0.00532,0.00526,0.00556,0.00613,0.00622,0.00625,0.00665,0.00693,0.00728
      metrics/recall(B),128,0.8661,0.88177,0.88333,0.88604,0.89046,0.90157,0.91268,0.9255,0.93533,0.94103
       metrics/mAP50(B),128,0.08181,0.10398,0.15141,0.20348,0.28971,0.33386,0.35095,0.35837,0.38195,0.41371
    metrics/mAP50-95(B),128,0.04358,0.05886,0.08185,0.10988,0.17654,0.196,0.21269,0.22845,0.24849,0.27969
   metrics/precision(M),128,0.00462,0.00492,0.0049,0.00496,0.00544,0.00552,0.0057,0.00588,0.00613,0.00638
      metrics/recall(M),128,0.78732,0.84437,0.85577,0.84501,0.85221,0.87436,0.88148,0.87144,0.88162,0.88447
       metrics/mAP50(M),128,0.06644,0.08606,0.10943,0.18206,0.26947,0.31968,0.32997,0.33925,0.35259,0.38743
    metrics/mAP50-95(M),128,0.04224,0.05546,0.07213,0.11521,0.17315,0.1919,0.21086,0.2233,0.23093,0.27331
           val/box_loss,128,1.0981,1.0912,1.1129,1.1836,1.1468,1.1533,1.1298,1.0776,1.0476,1.002
           val/seg_loss,128,2.7913,2.5696,2.7523,2.9326,3.1667,3.3604,2.9202,2.6599,2.4932,2.3004
           val/cls_loss,128,3.7788,3.7608,3.7787,3.7597,3.6344,3.5331,3.4607,3.4544,3.4011,3.3265
           val/dfl_loss,128,1.5341,1.5876,1.6333,1.6779,1.6613,1.6457,1.553,1.4985,1.4482,1.381
                 lr/pg0,128,3e-05,6.307e-05,8.822e-05,0.00010545,0.00011476,0.00011615,0.00010962,9.517e-05,7.28e-05,4.251e-05
                 lr/pg1,128,3e-05,6.307e-05,8.822e-05,0.00010545,0.00011476,0.00011615,0.00010962,9.517e-05,7.28e-05,4.251e-05
                 lr/pg2,128,3e-05,6.307e-05,8.822e-05,0.00010545,0.00011476,0.00011615,0.00010962,9.517e-05,7.28e-05,4.251e-05
