epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
    1,                 1.4298,                 4.0566,                 4.0178,                 1.7567,                0.00537,                 0.8661,                0.08181,                0.04358,                0.00462,                0.78732,                0.06644,                0.04224,                 1.0981,                 2.7913,                 3.7788,                 1.5341,                  3e-05,                  3e-05,                  3e-05
    2,                 1.1632,                  3.165,                 3.8353,                 1.5741,                0.00532,                0.88177,                0.10398,                0.05886,                0.00492,                0.84437,                0.08606,                0.05546,                 1.0912,                 2.5696,                 3.7608,                 1.5876,              6.307e-05,              6.307e-05,              6.307e-05
    3,                0.90381,                 2.3682,                 3.5513,                 1.3747,                0.00526,                0.88333,                0.15141,                0.08185,                 0.0049,                0.85577,                0.10943,                0.07213,                 1.1129,                 2.7523,                 3.7787,                 1.6333,              8.822e-05,              8.822e-05,              8.822e-05
    4,                0.85738,                 1.9959,                 3.2124,                 1.3234,                0.00556,                0.88604,                0.20348,                0.10988,                0.00496,                0.84501,                0.18206,                0.11521,                 1.1836,                 2.9326,                 3.7597,                 1.6779,             0.00010545,             0.00010545,             0.00010545
    5,                0.84632,                 1.8306,                 2.9106,                 1.3168,                0.00613,                0.89046,                0.28971,                0.17654,                0.00544,                0.85221,                0.26947,                0.17315,                 1.1468,                 3.1667,                 3.6344,                 1.6613,             0.00011476,             0.00011476,             0.00011476
    6,                 0.8266,                 1.6567,                 2.7289,                 1.2901,                0.00622,                0.90157,                0.33386,                  0.196,                0.00552,                0.87436,                0.31968,                 0.1919,                 1.1533,                 3.3604,                 3.5331,                 1.6457,             0.00011615,             0.00011615,             0.00011615
    7,                0.81582,                 1.5644,                 2.4752,                 1.2909,                0.00625,                0.91268,                0.35095,                0.21269,                 0.0057,                0.88148,                0.32997,                0.21086,                 1.1298,                 2.9202,                 3.4607,                  1.553,             0.00010962,             0.00010962,             0.00010962
    8,                 0.7921,                 1.4421,                 2.3609,                 1.2587,                0.00665,                 0.9255,                0.35837,                0.22845,                0.00588,                0.87144,                0.33925,                 0.2233,                 1.0776,                 2.6599,                 3.4544,                 1.4985,              9.517e-05,              9.517e-05,              9.517e-05
    9,                0.78443,                  1.439,                 2.2744,                 1.2343,                0.00693,                0.93533,                0.38195,                0.24849,                0.00613,                0.88162,                0.35259,                0.23093,                 1.0476,                 2.4932,                 3.4011,                 1.4482,               7.28e-05,               7.28e-05,               7.28e-05
    10,                0.75681,                  1.372,                 2.1974,                 1.2124,                0.00728,                0.94103,                0.41371,                0.27969,                0.00638,                0.88447,                0.38743,                0.27331,                  1.002,                 2.3004,                 3.3265,                  1.381,              4.251e-05,              4.251e-05,              4.251e-05
