,batch,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
         train/box_loss,32,0.89855,0.81607,0.89677,0.9399,0.82821,0.81252,0.81565,0.8106,0.79666,0.74294,0.93832,0.84086,0.80607,0.77321,0.74815,0.69514,0.66391,0.65615,0.62234,0.59441
         train/seg_loss,32,2.5066,1.6534,1.6243,1.582,1.3689,1.4386,1.4774,1.3703,1.2764,1.2878,1.6754,1.4744,1.2961,1.2846,1.1832,1.0955,1.0432,1.0753,0.96296,0.87982
         train/cls_loss,32,3.4235,2.6103,2.1638,1.937,1.7317,1.5972,1.547,1.4548,1.4062,1.3021,1.8535,1.591,1.4813,1.3794,1.3214,1.2324,1.169,1.1151,1.0632,1.0268
         train/dfl_loss,32,1.2704,1.1994,1.2368,1.2507,1.1805,1.1659,1.1786,1.15,1.1555,1.1215,1.3588,1.2813,1.2372,1.2183,1.1836,1.1674,1.1198,1.1263,1.0898,1.0815
   metrics/precision(B),32,0.00579,0.00705,0.3222,0.57613,0.53162,0.52725,0.63863,0.7198,0.69099,0.6816,0.6769,0.63369,0.64758,0.70623,0.71388,0.7009,0.7582,0.82779,0.82615,0.79133
      metrics/recall(B),32,0.92308,0.92621,0.30015,0.31274,0.32653,0.48912,0.52069,0.52625,0.50679,0.59755,0.49901,0.58323,0.65333,0.75077,0.75049,0.7528,0.72128,0.70193,0.79663,0.79965
       metrics/mAP50(B),32,0.20886,0.2906,0.28031,0.36903,0.45438,0.55867,0.59975,0.60745,0.61442,0.65878,0.49132,0.56035,0.70708,0.79534,0.80064,0.79168,0.80002,0.81315,0.84332,0.8419
    metrics/mAP50-95(B),32,0.1302,0.19353,0.15799,0.24729,0.23203,0.3609,0.38882,0.388,0.41463,0.44236,0.32625,0.40329,0.4887,0.57962,0.5923,0.5814,0.59512,0.62023,0.64453,0.65252
   metrics/precision(M),32,0.00536,0.00663,0.65289,0.59285,0.591,0.52886,0.61864,0.68389,0.68732,0.66737,0.62202,0.61633,0.71285,0.68749,0.69827,0.66855,0.74336,0.8069,0.81028,0.77996
      metrics/recall(M),32,0.88447,0.88077,0.02321,0.31595,0.33722,0.4565,0.49733,0.50171,0.48795,0.57089,0.4353,0.55547,0.61317,0.7353,0.73471,0.71992,0.70046,0.69752,0.78184,0.74704
       metrics/mAP50(M),32,0.17135,0.27457,0.24244,0.3547,0.44505,0.53088,0.57748,0.56693,0.58152,0.63447,0.42191,0.53402,0.7019,0.76425,0.77274,0.75265,0.7531,0.78516,0.81743,0.81382
    metrics/mAP50-95(M),32,0.12263,0.19325,0.13752,0.25714,0.30929,0.35808,0.41967,0.40972,0.40024,0.45368,0.26739,0.40603,0.53751,0.60143,0.61345,0.60706,0.60977,0.64311,0.67344,0.68615
           val/box_loss,32,0.9881,1.1576,1.3363,1.2219,1.4154,1.3318,1.3257,1.4691,1.3184,1.2018,1.2222,1.1834,1.2706,1.1757,1.0894,1.0768,1.0456,0.963,0.96728,0.9713
           val/seg_loss,32,2.5965,2.6198,3.6774,2.6022,2.7334,2.9563,2.5172,2.5102,2.9174,2.3891,2.9311,2.2794,2.1765,2.0222,1.9754,1.8832,1.8468,1.7887,1.6985,1.6369
           val/cls_loss,32,3.6261,3.4069,3.351,2.9864,2.9661,2.5584,2.3649,2.3691,2.2317,2.155,2.6153,2.5743,1.9717,1.6673,1.6002,1.5884,1.5448,1.4735,1.4022,1.4256
           val/dfl_loss,32,1.4126,1.5147,1.7589,1.6217,1.849,1.7103,1.6726,1.8064,1.7206,1.5971,1.6391,1.5656,1.644,1.4899,1.4261,1.4152,1.4039,1.3301,1.3396,1.3319
                 lr/pg0,32,0.00014,0.00027565,0.00039644,0.00050239,0.00059348,0.00066972,0.000703,0.0006535,0.000604,0.0005545,0.000505,0.0004555,0.000406,0.0003565,0.000307,0.0002575,0.000208,0.0001585,0.000109,5.95e-05
                 lr/pg1,32,0.00014,0.00027565,0.00039644,0.00050239,0.00059348,0.00066972,0.000703,0.0006535,0.000604,0.0005545,0.000505,0.0004555,0.000406,0.0003565,0.000307,0.0002575,0.000208,0.0001585,0.000109,5.95e-05
                 lr/pg2,32,0.00014,0.00027565,0.00039644,0.00050239,0.00059348,0.00066972,0.000703,0.0006535,0.000604,0.0005545,0.000505,0.0004555,0.000406,0.0003565,0.000307,0.0002575,0.000208,0.0001585,0.000109,5.95e-05
         train/box_loss,64,0.98801,0.77813,0.79513,0.79559,0.78086,0.75976,0.7862,0.7196,0.75831,0.72883,0.89337,0.83966,0.85632,0.78597,0.74161,0.73007,0.68597,0.64368,0.63915,0.60971
         train/seg_loss,64,2.8839,1.8816,1.6014,1.499,1.3736,1.2966,1.3445,1.204,1.2909,1.2043,1.6024,1.4882,1.4906,1.3862,1.2339,1.1582,1.0948,0.96495,0.99632,0.94762
         train/cls_loss,64,3.5607,3.1578,2.5995,2.2692,2.0509,1.8368,1.6325,1.4681,1.3917,1.3814,1.9698,1.7494,1.6678,1.5455,1.3966,1.353,1.2641,1.1919,1.1887,1.1429
         train/dfl_loss,64,1.3332,1.1877,1.1868,1.1853,1.1691,1.1352,1.1408,1.1127,1.1266,1.1205,1.3164,1.2843,1.2705,1.2198,1.1802,1.1661,1.1441,1.1216,1.104,1.0988
   metrics/precision(B),64,0.00547,0.00574,0.00666,0.32804,0.44178,0.77306,0.61219,0.6352,0.5694,0.57846,0.68926,0.35832,0.63055,0.63239,0.73541,0.72182,0.79129,0.70906,0.79385,0.75501
      metrics/recall(B),64,0.8933,0.90527,0.92066,0.4127,0.22723,0.31924,0.46439,0.53538,0.47542,0.53335,0.40423,0.34151,0.54731,0.55649,0.58341,0.51047,0.62745,0.70462,0.63555,0.69059
       metrics/mAP50(B),64,0.12121,0.20395,0.26581,0.32975,0.36871,0.46062,0.54837,0.59846,0.5461,0.5887,0.48997,0.33733,0.50865,0.6216,0.63776,0.57675,0.72532,0.76453,0.77014,0.78939
    metrics/mAP50-95(B),64,0.0723,0.11843,0.16628,0.21678,0.23742,0.29613,0.36124,0.42424,0.39486,0.40752,0.30828,0.18826,0.31856,0.43277,0.46899,0.42971,0.54175,0.56875,0.58768,0.60791
