                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1747,                 3.1721,                 3.7892,                 1.5901,                0.00536,                0.89587,                0.16427,                0.09303,                0.00479,                0.85278,                0.13874,                 0.0858,                 1.1634,                 3.0663,                 3.7566,                 1.6709,                0.00014,                0.00014,                0.00014
                      2,                 0.9863,                 2.0444,                 2.8855,                 1.4297,                0.00582,                0.90128,                0.23182,                0.14506,                 0.0051,                0.86339,                0.21351,                0.13105,                 1.3241,                 3.8037,                 3.4693,                  1.843,             0.00026129,             0.00026129,             0.00026129
                      3,                  1.004,                 1.9467,                 2.5452,                 1.4114,                0.91409,                0.11441,                0.36055,                0.21932,                0.89606,                0.10886,                0.32651,                0.23858,                 1.4094,                 2.9064,                 3.3029,                 1.8568,             0.00035288,             0.00035288,             0.00035288
                      4,                 1.0185,                 1.7924,                 2.3293,                 1.4041,                0.80084,                0.23649,                0.47425,                0.29979,                0.79216,                0.23186,                0.45349,                0.33222,                  1.315,                 2.7848,                  3.085,                  1.724,             0.00041477,             0.00041477,             0.00041477
                      5,                0.95133,                 1.6572,                 2.0598,                 1.3637,                0.55222,                0.47083,                 0.5485,                0.34227,                  0.533,                0.45872,                0.53084,                0.38763,                  1.417,                  2.642,                 2.7932,                 1.8844,             0.00044696,             0.00044696,             0.00044696
                      6,                 0.9464,                 1.6157,                  1.999,                 1.3471,                0.63954,                0.57337,                0.66356,                0.44599,                0.62495,                0.56642,                0.63722,                0.48468,                 1.2375,                 2.1834,                 2.4831,                 1.6102,             0.00044945,             0.00044945,             0.00044945
                      7,                0.88412,                 1.5581,                 1.8104,                 1.3122,                0.61803,                0.70192,                0.72512,                0.51246,                0.59487,                 0.6802,                0.69527,                0.51859,                 1.1902,                 2.2031,                 2.0799,                 1.5443,               0.000406,               0.000406,               0.000406
                      8,                0.82715,                 1.4629,                 1.6582,                 1.2407,                0.67924,                0.70633,                0.73811,                0.53541,                0.64292,                0.67528,                0.67925,                0.53182,                 1.0726,                 2.1641,                 1.9634,                 1.4318,               0.000307,               0.000307,               0.000307
                      9,                0.78524,                 1.3728,                 1.5861,                 1.2186,                0.74363,                0.70264,                0.78903,                0.58611,                0.71736,                0.68939,                0.75102,                0.59911,                 1.0237,                 1.9156,                 1.7514,                 1.3809,               0.000208,               0.000208,               0.000208
                     10,                0.75185,                 1.2409,                 1.4755,                 1.1858,                0.78345,                0.73645,                0.82708,                0.62133,                0.75114,                0.71003,                 0.7854,                0.62795,                 1.0249,                 1.8304,                 1.6655,                 1.3477,               0.000109,               0.000109,               0.000109
