                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89855,                 2.5066,                 3.4235,                 1.2704,                0.00579,                0.92308,                0.20886,                 0.1302,                0.00536,                0.88447,                0.17135,                0.12263,                 0.9881,                 2.5965,                 3.6261,                 1.4126,                0.00014,                0.00014,                0.00014
                      2,                0.81607,                 1.6534,                 2.6103,                 1.1994,                0.00705,                0.92621,                 0.2906,                0.19353,                0.00663,                0.88077,                0.27457,                0.19325,                 1.1576,                 2.6198,                 3.4069,                 1.5147,             0.00027565,             0.00027565,             0.00027565
                      3,                0.89677,                 1.6243,                 2.1638,                 1.2368,                 0.3222,                0.30015,                0.28031,                0.15799,                0.65289,                0.02321,                0.24244,                0.13752,                 1.3363,                 3.6774,                  3.351,                 1.7589,             0.00039644,             0.00039644,             0.00039644
                      4,                 0.9399,                  1.582,                  1.937,                 1.2507,                0.57613,                0.31274,                0.36903,                0.24729,                0.59285,                0.31595,                 0.3547,                0.25714,                 1.2219,                 2.6022,                 2.9864,                 1.6217,             0.00050239,             0.00050239,             0.00050239
                      5,                0.82821,                 1.3689,                 1.7317,                 1.1805,                0.53162,                0.32653,                0.45438,                0.23203,                  0.591,                0.33722,                0.44505,                0.30929,                 1.4154,                 2.7334,                 2.9661,                  1.849,             0.00059348,             0.00059348,             0.00059348
                      6,                0.81252,                 1.4386,                 1.5972,                 1.1659,                0.52725,                0.48912,                0.55867,                 0.3609,                0.52886,                 0.4565,                0.53088,                0.35808,                 1.3318,                 2.9563,                 2.5584,                 1.7103,             0.00066972,             0.00066972,             0.00066972
                      7,                0.81565,                 1.4774,                  1.547,                 1.1786,                0.63863,                0.52069,                0.59975,                0.38882,                0.61864,                0.49733,                0.57748,                0.41967,                 1.3257,                 2.5172,                 2.3649,                 1.6726,               0.000703,               0.000703,               0.000703
                      8,                 0.8106,                 1.3703,                 1.4548,                   1.15,                 0.7198,                0.52625,                0.60745,                  0.388,                0.68389,                0.50171,                0.56693,                0.40972,                 1.4691,                 2.5102,                 2.3691,                 1.8064,              0.0006535,              0.0006535,              0.0006535
                      9,                0.79666,                 1.2764,                 1.4062,                 1.1555,                0.69099,                0.50679,                0.61442,                0.41463,                0.68732,                0.48795,                0.58152,                0.40024,                 1.3184,                 2.9174,                 2.2317,                 1.7206,               0.000604,               0.000604,               0.000604
                     10,                0.74294,                 1.2878,                 1.3021,                 1.1215,                 0.6816,                0.59755,                0.65878,                0.44236,                0.66737,                0.57089,                0.63447,                0.45368,                 1.2018,                 2.3891,                  2.155,                 1.5971,              0.0005545,              0.0005545,              0.0005545
                     11,                0.93832,                 1.6754,                 1.8535,                 1.3588,                 0.6769,                0.49901,                0.49132,                0.32625,                0.62202,                 0.4353,                0.42191,                0.26739,                 1.2222,                 2.9311,                 2.6153,                 1.6391,               0.000505,               0.000505,               0.000505
                     12,                0.84086,                 1.4744,                  1.591,                 1.2813,                0.63369,                0.58323,                0.56035,                0.40329,                0.61633,                0.55547,                0.53402,                0.40603,                 1.1834,                 2.2794,                 2.5743,                 1.5656,              0.0004555,              0.0004555,              0.0004555
                     13,                0.80607,                 1.2961,                 1.4813,                 1.2372,                0.64758,                0.65333,                0.70708,                 0.4887,                0.71285,                0.61317,                 0.7019,                0.53751,                 1.2706,                 2.1765,                 1.9717,                  1.644,               0.000406,               0.000406,               0.000406
                     14,                0.77321,                 1.2846,                 1.3794,                 1.2183,                0.70623,                0.75077,                0.79534,                0.57962,                0.68749,                 0.7353,                0.76425,                0.60143,                 1.1757,                 2.0222,                 1.6673,                 1.4899,              0.0003565,              0.0003565,              0.0003565
                     15,                0.74815,                 1.1832,                 1.3214,                 1.1836,                0.71388,                0.75049,                0.80064,                 0.5923,                0.69827,                0.73471,                0.77274,                0.61345,                 1.0894,                 1.9754,                 1.6002,                 1.4261,               0.000307,               0.000307,               0.000307
                     16,                0.69514,                 1.0955,                 1.2324,                 1.1674,                 0.7009,                 0.7528,                0.79168,                 0.5814,                0.66855,                0.71992,                0.75265,                0.60706,                 1.0768,                 1.8832,                 1.5884,                 1.4152,              0.0002575,              0.0002575,              0.0002575
                     17,                0.66391,                 1.0432,                  1.169,                 1.1198,                 0.7582,                0.72128,                0.80002,                0.59512,                0.74336,                0.70046,                 0.7531,                0.60977,                 1.0456,                 1.8468,                 1.5448,                 1.4039,               0.000208,               0.000208,               0.000208
                     18,                0.65615,                 1.0753,                 1.1151,                 1.1263,                0.82779,                0.70193,                0.81315,                0.62023,                 0.8069,                0.69752,                0.78516,                0.64311,                  0.963,                 1.7887,                 1.4735,                 1.3301,              0.0001585,              0.0001585,              0.0001585
                     19,                0.62234,                0.96296,                 1.0632,                 1.0898,                0.82615,                0.79663,                0.84332,                0.64453,                0.81028,                0.78184,                0.81743,                0.67344,                0.96728,                 1.6985,                 1.4022,                 1.3396,               0.000109,               0.000109,               0.000109
                     20,                0.59441,                0.87982,                 1.0268,                 1.0815,                0.79133,                0.79965,                 0.8419,                0.65252,                0.77996,                0.74704,                0.81382,                0.68615,                 0.9713,                 1.6369,                 1.4256,                 1.3319,               5.95e-05,               5.95e-05,               5.95e-05
