                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93049,                 2.2918,                  3.137,                 1.2714,                0.00772,                0.91338,                0.23981,                0.16826,                0.00753,                0.90198,                 0.2251,                0.16053,                0.88583,                 2.0841,                 3.3894,                 1.3713,                0.00029,                0.00029,                0.00029
                      2,                0.99641,                 1.9495,                 2.3309,                 1.3155,                0.35075,                0.45021,                0.35133,                0.22863,                0.34724,                0.43934,                 0.3473,                0.25547,                 1.2773,                 2.2186,                 2.9602,                 1.7375,             0.00058416,             0.00058416,             0.00058416
                      3,                0.99875,                   1.81,                 2.0889,                 1.2907,                0.27292,                0.48063,                0.31832,                0.17891,                0.25334,                0.42861,                0.28245,                0.18094,                 1.4548,                 2.8569,                 2.9547,                 2.1143,             0.00087238,             0.00087238,             0.00087238
                      4,                0.99084,                 1.7612,                 2.0284,                 1.2835,                0.46569,                0.48085,                0.42868,                0.26093,                0.46126,                0.45961,                0.41588,                 0.2847,                 1.3227,                 2.6671,                 2.7106,                 1.8357,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.0119,                 1.8048,                 1.8278,                 1.2894,                0.41999,                0.48901,                0.37891,                0.18943,                0.38198,                0.42625,                0.33163,                0.18901,                 1.7647,                 3.9116,                 3.1331,                 2.1947,              0.0009604,              0.0009604,              0.0009604
                      6,                0.96355,                 1.7217,                 1.7161,                 1.2523,                0.59585,                0.47273,                0.47644,                0.29856,                0.60575,                0.42249,                0.44063,                0.25594,                 1.2601,                 2.8413,                 2.6191,                  1.684,              0.0009505,              0.0009505,              0.0009505
                      7,                0.94131,                  1.674,                 1.6656,                 1.2292,                0.53912,                0.54833,                0.53372,                0.35502,                0.53771,                0.54263,                0.52621,                0.37312,                 1.1772,                 2.2653,                 2.3269,                 1.6463,              0.0009406,              0.0009406,              0.0009406
                      8,                0.91676,                  1.575,                 1.5338,                 1.2102,                0.51292,                0.51755,                0.54613,                0.35855,                0.49272,                0.49335,                0.49519,                0.32754,                 1.3084,                 2.7513,                 2.4056,                 1.6879,              0.0009307,              0.0009307,              0.0009307
                      9,                0.94619,                 1.6554,                 1.5531,                 1.2272,                0.55858,                0.65571,                0.68414,                 0.4396,                0.59313,                0.58234,                  0.641,                0.43912,                 1.2182,                 2.0208,                 2.0859,                  1.611,              0.0009208,              0.0009208,              0.0009208
                     10,                0.85387,                 1.4947,                 1.4485,                 1.1971,                0.68692,                0.56054,                0.64356,                0.44093,                0.67911,                 0.5347,                0.60637,                0.43643,                 1.1617,                 2.2836,                  2.067,                 1.5928,              0.0009109,              0.0009109,              0.0009109
                     11,                0.92913,                 1.6409,                 1.4468,                 1.2305,                0.57276,                0.59387,                 0.5793,                  0.413,                0.53621,                0.57433,                0.54487,                 0.4202,                 1.1019,                 2.1344,                 2.2586,                 1.5275,               0.000901,               0.000901,               0.000901
                     12,                0.88071,                 1.5327,                 1.3965,                 1.2009,                0.70285,                0.58631,                0.69231,                0.46602,                0.69027,                0.58003,                0.67267,                0.47514,                 1.1165,                 2.0954,                 1.8025,                 1.5253,              0.0008911,              0.0008911,              0.0008911
                     13,                0.87125,                 1.4877,                 1.3559,                 1.1877,                0.75842,                0.51983,                0.66305,                0.43948,                0.73275,                0.50884,                0.63732,                0.47629,                 1.2248,                 2.0538,                 1.9469,                 1.6618,              0.0008812,              0.0008812,              0.0008812
                     14,                0.84038,                  1.468,                 1.3216,                  1.192,                 0.7046,                0.55772,                0.66666,                0.45903,                0.71367,                0.56446,                0.65117,                0.43989,                 1.1839,                 2.1208,                 1.9574,                 1.6037,              0.0008713,              0.0008713,              0.0008713
                     15,                 0.8513,                 1.4827,                 1.2969,                 1.1754,                0.47211,                0.54268,                0.52923,                0.37843,                 0.4542,                0.52681,                0.49886,                0.35099,                 1.1024,                 2.2215,                  2.232,                 1.5261,              0.0008614,              0.0008614,              0.0008614
                     16,                0.82947,                  1.515,                 1.2402,                 1.1671,                0.76092,                0.60732,                0.70707,                0.50611,                 0.7451,                0.59147,                0.67837,                0.49274,                 1.0476,                 2.0617,                 1.8373,                 1.4719,              0.0008515,              0.0008515,              0.0008515
                     17,                0.78756,                 1.2982,                 1.2096,                 1.1471,                0.70426,                0.63261,                0.69703,                0.46944,                 0.7048,                0.61719,                0.67457,                0.49577,                 1.1282,                 1.7898,                 1.8033,                 1.5468,              0.0008416,              0.0008416,              0.0008416
                     18,                0.77718,                 1.3324,                 1.1836,                 1.1391,                0.65912,                0.64951,                0.71046,                0.48047,                  0.637,                0.64614,                0.68385,                0.48663,                 1.1387,                 1.9829,                 1.6128,                 1.5398,              0.0008317,              0.0008317,              0.0008317
                     19,                0.81942,                 1.4432,                 1.1838,                 1.1604,                0.73722,                 0.7592,                0.77525,                0.52935,                0.74052,                0.73502,                0.76073,                0.56791,                 1.0851,                 1.6022,                 1.4793,                  1.504,              0.0008218,              0.0008218,              0.0008218
                     20,                0.74093,                  1.335,                 1.1476,                 1.1036,                0.66824,                0.65871,                 0.6917,                0.47871,                0.68535,                0.63427,                0.66383,                0.47485,                 1.1608,                 1.9025,                 1.6354,                 1.5662,              0.0008119,              0.0008119,              0.0008119
                     21,                0.76529,                 1.3403,                 1.1491,                  1.119,                0.65122,                0.69626,                 0.7079,                0.52304,                0.63536,                0.68122,                0.68223,                0.49147,                  1.051,                 2.0953,                 1.5777,                  1.485,               0.000802,               0.000802,               0.000802
                     22,                0.79006,                 1.3481,                 1.1075,                 1.1366,                0.58747,                0.61381,                0.64548,                0.46717,                 0.5755,                0.59689,                0.61988,                0.46412,                 1.0369,                 1.9758,                 1.8021,                 1.4659,              0.0007921,              0.0007921,              0.0007921
                     23,                0.73529,                 1.3003,                 1.0828,                 1.1118,                0.78696,                0.67474,                0.75052,                0.54583,                0.78582,                0.67123,                0.73917,                0.54626,                 1.0419,                 1.8022,                 1.4849,                 1.4722,              0.0007822,              0.0007822,              0.0007822
                     24,                 0.7428,                 1.3093,                 1.0631,                 1.1153,                0.71656,                0.72059,                0.79641,                0.60228,                 0.6954,                0.70257,                0.76597,                0.60151,                0.96994,                 1.6024,                 1.3334,                 1.4019,              0.0007723,              0.0007723,              0.0007723
                     25,                0.75909,                 1.2889,                  1.039,                 1.1291,                0.70458,                0.68643,                0.75177,                0.56726,                0.68883,                 0.6594,                0.72215,                0.58047,                0.97064,                 1.6885,                 1.4791,                 1.3897,              0.0007624,              0.0007624,              0.0007624
                     26,                0.76779,                 1.3686,                 1.0505,                 1.1294,                0.75741,                0.67421,                0.75437,                0.55502,                0.73587,                0.65545,                0.72584,                0.56937,                 1.0616,                 1.9094,                 1.4692,                 1.4828,              0.0007525,              0.0007525,              0.0007525
                     27,                0.71213,                 1.2231,                0.97932,                 1.0952,                0.71898,                 0.6933,                0.73975,                0.55035,                0.75183,                0.68392,                 0.7361,                0.55932,                 1.0825,                 1.9534,                   1.45,                 1.4924,              0.0007426,              0.0007426,              0.0007426
                     28,                0.72315,                 1.2475,                0.99017,                 1.0951,                0.79747,                 0.7065,                0.79541,                0.59009,                0.78462,                0.68954,                0.77311,                0.56984,                0.97516,                 1.9385,                 1.3582,                 1.4187,              0.0007327,              0.0007327,              0.0007327
                     29,                0.68317,                 1.1114,                0.96111,                 1.0665,                0.79531,                0.75192,                 0.8137,                0.58896,                0.78461,                0.73668,                0.79199,                0.60762,                0.96108,                 1.6643,                 1.2389,                 1.3857,              0.0007228,              0.0007228,              0.0007228
