                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90748,                 2.2756,                  3.388,                 1.2531,                0.76192,                 0.0216,                0.16871,                0.12793,                0.76192,                 0.0216,                0.16546,                0.12631,                0.86516,                 1.8006,                 3.1772,                 1.4009,             0.00025064,             0.00025064,             0.00025064
                      2,                0.92147,                 1.7878,                 2.4589,                 1.2523,                0.37473,                0.41001,                 0.3551,                0.24195,                0.33648,                 0.4001,                0.32455,                0.23675,                 1.0841,                  1.782,                 2.5421,                 1.5606,             0.00049442,             0.00049442,             0.00049442
                      3,                0.95352,                 1.7279,                 2.1346,                 1.2663,                0.30137,                0.52515,                0.34969,                0.22792,                0.30171,                0.52639,                0.32748,                0.23274,                 1.1675,                 2.0497,                 2.4991,                 1.7653,             0.00072552,             0.00072552,             0.00072552
                      4,                0.90248,                 1.6528,                 1.8964,                 1.2173,                0.50847,                0.55561,                0.55616,                0.37589,                0.45208,                0.52407,                0.51373,                0.32208,                 1.1892,                 2.9365,                 2.2909,                 1.7721,              0.0007119,              0.0007119,              0.0007119
                      5,                0.89289,                 1.6675,                 1.7196,                 1.2087,                0.63467,                0.43576,                0.49537,                0.32149,                0.60766,                0.41896,                0.46537,                0.32509,                 1.1427,                 1.9965,                 2.0871,                 1.6777,             0.00069287,             0.00069287,             0.00069287
                      6,                0.84668,                 1.5878,                 1.6525,                 1.1931,                0.54512,                0.60334,                 0.6431,                0.43885,                0.53179,                0.58394,                0.61482,                0.43067,                 1.0002,                 1.9963,                 1.9281,                 1.4958,             0.00067384,             0.00067384,             0.00067384
                      7,                0.83611,                 1.5375,                 1.6073,                 1.1863,                0.63586,                0.53225,                0.64039,                0.45451,                0.61801,                0.51331,                0.61745,                0.45403,                0.95836,                 1.6962,                 1.8692,                 1.4769,              0.0006548,              0.0006548,              0.0006548
                      8,                0.83971,                 1.5523,                 1.5464,                 1.1732,                0.60518,                0.65409,                0.67772,                 0.4711,                0.59066,                0.63499,                0.65875,                0.45773,                0.95643,                 1.8534,                 1.6952,                 1.4306,             0.00063577,             0.00063577,             0.00063577
                      9,                0.80119,                  1.496,                 1.4523,                 1.1544,                0.65364,                0.64104,                0.66811,                 0.4782,                0.66331,                 0.6118,                0.64442,                0.47244,                0.99014,                 1.7902,                 1.6691,                 1.4789,             0.00061674,             0.00061674,             0.00061674
                     10,                0.78255,                 1.4491,                 1.3732,                 1.1379,                0.49802,                0.54302,                0.56053,                 0.4022,                0.47021,                0.56105,                0.53334,                0.39958,                0.95258,                 1.6468,                 1.9786,                 1.4155,             0.00059771,             0.00059771,             0.00059771
                     11,                0.76707,                  1.386,                 1.3666,                 1.1325,                0.59764,                0.70714,                0.71427,                0.50868,                0.57598,                0.66426,                0.68239,                0.48012,                 1.0275,                 1.9223,                 1.5943,                  1.509,             0.00057867,             0.00057867,             0.00057867
                     12,                0.76995,                 1.3619,                 1.2913,                 1.1198,                0.71706,                0.68176,                0.72817,                0.53508,                0.67454,                0.65931,                0.69313,                 0.5214,                0.96753,                 1.6008,                 1.4673,                 1.4994,             0.00055964,             0.00055964,             0.00055964
                     13,                0.75549,                 1.3673,                 1.2647,                 1.1159,                0.73925,                0.71357,                0.76507,                0.55176,                0.72703,                0.68862,                 0.7312,                0.55901,                0.93235,                  1.522,                  1.412,                 1.4368,             0.00054061,             0.00054061,             0.00054061
                     14,                 0.7141,                 1.2926,                 1.2061,                 1.1065,                0.70499,                0.76443,                0.79605,                0.60652,                0.68753,                0.74202,                 0.7616,                0.58669,                0.84189,                 1.4388,                 1.2661,                 1.3637,             0.00052157,             0.00052157,             0.00052157
                     15,                0.71115,                 1.2746,                 1.1346,                 1.0992,                0.74565,                0.77057,                0.80285,                0.58265,                0.74233,                0.71685,                0.77241,                0.58991,                0.94485,                 1.4509,                 1.3158,                 1.4537,             0.00050254,             0.00050254,             0.00050254
                     16,                0.70161,                 1.2653,                 1.1126,                 1.0888,                0.75152,                0.80498,                0.82832,                0.62946,                0.73404,                0.77455,                0.79458,                0.63452,                0.83722,                  1.329,                 1.1618,                 1.3508,             0.00048351,             0.00048351,             0.00048351
                     17,                0.68236,                 1.2209,                 1.0618,                  1.073,                0.76427,                0.75125,                0.80988,                0.60481,                0.74975,                0.72906,                 0.7933,                0.61747,                0.86395,                 1.2884,                 1.2537,                 1.3664,             0.00046448,             0.00046448,             0.00046448
                     18,                0.68726,                 1.2525,                 1.0966,                 1.0759,                0.72507,                0.82277,                0.80628,                0.61332,                0.73222,                0.80352,                0.78123,                0.61824,                0.83222,                 1.2803,                 1.1638,                 1.3293,             0.00044544,             0.00044544,             0.00044544
                     19,                0.65143,                 1.1667,                 1.0501,                 1.0634,                0.82558,                0.78399,                0.85461,                0.66883,                 0.8098,                0.77422,                0.83338,                0.66194,                0.78407,                 1.2685,                 1.1039,                 1.2822,             0.00042641,             0.00042641,             0.00042641
                     20,                  0.652,                 1.1653,                 1.0034,                 1.0658,                0.80653,                0.78335,                0.84755,                0.66823,                0.79499,                0.77164,                0.81811,                0.65257,                0.77966,                 1.2124,                 1.1215,                 1.3127,             0.00040738,             0.00040738,             0.00040738
                     21,                0.62983,                 1.1233,                0.95562,                 1.0474,                0.70947,                 0.7795,                0.80289,                0.63974,                0.76165,                0.70137,                0.78152,                0.61968,                0.75994,                 1.3764,                 1.1277,                 1.2859,             0.00038835,             0.00038835,             0.00038835
                     22,                0.63926,                 1.1377,                0.95481,                 1.0519,                0.83421,                0.77556,                0.86771,                0.69805,                0.83093,                0.76564,                0.84459,                0.69566,                0.73799,                 1.1385,                 1.0172,                 1.2668,             0.00036931,             0.00036931,             0.00036931
                     23,                0.62101,                 1.0632,                0.91318,                 1.0451,                0.77164,                0.74445,                0.82334,                0.65385,                0.76588,                 0.7412,                0.81162,                0.64714,                0.76538,                  1.238,                 1.1193,                 1.2799,             0.00035028,             0.00035028,             0.00035028
                     24,                0.62294,                 1.1061,                0.93368,                 1.0358,                 0.7756,                0.78492,                 0.8359,                0.65813,                0.80715,                0.70038,                0.80088,                0.66384,                0.77333,                 1.1885,                 1.1468,                 1.2773,             0.00033125,             0.00033125,             0.00033125
                     25,                0.61392,                 1.0634,                 0.8898,                  1.032,                 0.8007,                0.79974,                0.83725,                0.65235,                0.76463,                0.76656,                0.79722,                0.65416,                0.77821,                 1.2987,                 1.0843,                 1.2826,             0.00031221,             0.00031221,             0.00031221
                     26,                0.59958,                  1.055,                0.88431,                  1.034,                0.79405,                0.74958,                0.82798,                0.66528,                0.72414,                0.78704,                0.80334,                0.65596,                0.77546,                 1.2708,                 1.0947,                 1.2762,             0.00029318,             0.00029318,             0.00029318
                     27,                 0.5889,                 1.0153,                0.86626,                 1.0272,                0.80266,                0.74292,                0.82791,                 0.6764,                 0.7774,                0.74279,                  0.813,                0.67588,                0.72806,                 1.1579,                 1.0219,                 1.2755,             0.00027415,             0.00027415,             0.00027415
                     28,                0.58315,                 1.0086,                 0.8564,                 1.0228,                 0.8578,                0.80304,                  0.878,                0.71639,                0.84248,                0.79402,                 0.8578,                0.70956,                0.73003,                 1.1935,                0.92052,                 1.2629,             0.00025512,             0.00025512,             0.00025512
                     29,                0.58265,                 1.0001,                0.84355,                 1.0199,                0.84957,                0.78257,                0.85817,                 0.7016,                0.80149,                0.80671,                 0.8418,                0.69536,                0.70364,                 1.1371,                0.91526,                  1.234,             0.00023608,             0.00023608,             0.00023608
                     30,                0.60404,                 1.0507,                0.83035,                 1.0334,                 0.8365,                0.83143,                0.86884,                 0.7124,                0.81795,                0.81364,                0.84658,                0.70373,                0.69585,                 1.1426,                0.89584,                 1.2172,             0.00021705,             0.00021705,             0.00021705
                     31,                0.59116,                 1.0379,                0.97193,                 1.0833,                0.79001,                0.78868,                0.85428,                0.68617,                0.77082,                0.77531,                0.82979,                0.68529,                0.74115,                 1.2113,                 1.1417,                 1.2641,             0.00019802,             0.00019802,             0.00019802
                     32,                0.57122,                0.93345,                0.81318,                 1.0607,                 0.8735,                0.79155,                 0.8558,                0.68819,                0.85191,                0.77516,                0.83557,                0.68339,                0.71512,                 1.2172,                 1.0272,                 1.2447,             0.00017898,             0.00017898,             0.00017898
                     33,                0.55062,                0.89329,                0.78436,                  1.052,                0.83754,                0.83474,                0.87656,                0.71858,                 0.8096,                0.82541,                0.85185,                 0.7011,                0.70183,                  1.186,                 0.9118,                 1.2231,             0.00015995,             0.00015995,             0.00015995
                     34,                 0.5399,                0.86175,                0.77657,                 1.0395,                0.87507,                0.81702,                 0.8739,                0.71241,                 0.8561,                0.79753,                0.84845,                0.70725,                0.70084,                  1.198,                0.87417,                 1.2231,             0.00014092,             0.00014092,             0.00014092
                     35,                 0.5222,                0.82703,                0.73152,                 1.0227,                 0.7979,                0.83122,                0.84553,                0.69825,                0.81342,                 0.7835,                 0.8265,                0.70215,                0.67695,                 1.1304,                0.90616,                 1.2108,             0.00012189,             0.00012189,             0.00012189
                     36,                0.51182,                0.79741,                0.70107,                 1.0165,                0.80641,                0.86413,                0.86868,                0.72005,                0.79453,                0.85233,                0.85033,                0.71089,                0.67444,                 1.0715,                0.85609,                 1.2076,             0.00010285,             0.00010285,             0.00010285
