                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0479,                 3.1967,                 3.6059,                 1.3727,                0.00534,                0.86481,                0.09317,                0.04933,                0.00472,                0.79729,                0.07181,                 0.0483,                 1.0529,                 2.7134,                 3.7566,                 1.4864,                  3e-05,                  3e-05,                  3e-05
                      2,                0.88636,                 2.4481,                 3.4555,                 1.2739,                0.00566,                0.91439,                0.12521,                0.07615,                0.00513,                0.85805,                0.11291,                 0.0739,                0.89013,                 2.3256,                 3.6557,                 1.3462,             6.6535e-05,             6.6535e-05,             6.6535e-05
                      3,                 0.7951,                 1.9677,                 3.2552,                 1.1933,                0.00576,                 0.9161,                0.15827,                0.09653,                0.00527,                0.86909,                0.13238,                0.08873,                0.96407,                 2.6571,                  3.648,                 1.4031,              9.911e-05,              9.911e-05,              9.911e-05
                      4,                0.74169,                 1.7185,                 2.9687,                 1.1608,                0.00591,                0.91738,                0.21395,                0.14169,                0.00559,                0.88746,                0.18869,                0.13218,                0.97755,                 2.5972,                 3.5926,                 1.3852,             0.00012773,             0.00012773,             0.00012773
                      5,                0.70822,                 1.4847,                 2.6961,                 1.1471,                0.00605,                0.91296,                0.24824,                0.17426,                0.00569,                 0.8859,                0.22582,                0.16448,                0.96885,                  2.573,                 3.4801,                 1.3844,             0.00015238,             0.00015238,             0.00015238
                      6,                0.71713,                 1.3724,                 2.4599,                 1.1358,                0.00634,                0.92692,                0.24543,                0.16124,                0.00578,                0.87685,                 0.2214,                0.15125,                 1.0078,                 2.5395,                    3.5,                 1.4227,             0.00017307,             0.00017307,             0.00017307
                      7,                0.76826,                 1.4166,                 2.2847,                 1.1574,                0.00646,                0.92194,                0.31567,                0.20373,                0.00598,                0.87258,                0.29667,                0.20963,                 1.0433,                 2.4213,                 3.4374,                 1.4323,             0.00018981,             0.00018981,             0.00018981
                      8,                0.72007,                 1.2697,                 2.1078,                 1.1428,                0.00641,                0.91161,                0.34829,                0.23169,                  0.006,                0.87792,                0.32487,                0.23489,                 1.0949,                 2.4523,                 3.4314,                 1.4365,             0.00020258,             0.00020258,             0.00020258
                      9,                0.73871,                 1.2875,                 1.9687,                 1.1329,                0.74081,                0.04576,                0.34951,                0.23707,                0.74092,                0.03552,                0.33059,                0.25011,                 1.1229,                 2.4542,                 3.3618,                 1.4753,              0.0002114,              0.0002114,              0.0002114
                     10,                0.70124,                 1.1624,                 1.8555,                 1.1234,                0.84682,                 0.0682,                0.46205,                 0.3123,                0.84682,                 0.0682,                0.44069,                0.32819,                  1.138,                 2.3032,                 3.2732,                 1.4833,             0.00021625,             0.00021625,             0.00021625
                     11,                0.85213,                 1.5149,                 2.2514,                  1.322,                 0.7949,                0.26909,                0.47937,                 0.2468,                 0.7949,                0.26909,                0.46458,                0.35698,                 1.5095,                 2.5693,                 3.3757,                 1.9557,             0.00021715,             0.00021715,             0.00021715
                     12,                0.74655,                 1.3202,                 1.9444,                 1.2235,                0.91243,                0.06672,                0.55418,                   0.37,                0.91893,                0.06398,                0.53154,                 0.4133,                 1.1512,                 2.2735,                 3.2546,                 1.5379,             0.00021408,             0.00021408,             0.00021408
                     13,                0.75345,                 1.3459,                 1.8804,                 1.2094,                0.84039,                 0.1585,                0.57244,                0.33056,                0.82379,                0.15339,                0.55055,                0.40719,                 1.2648,                 2.4816,                 3.2526,                 1.6831,             0.00020706,             0.00020706,             0.00020706
                     14,                0.69298,                 1.2122,                 1.7356,                 1.1684,                0.88128,                0.10677,                0.57173,                0.34075,                0.88128,                0.10677,                 0.5278,                0.36215,                 1.2569,                 2.4912,                 3.2795,                 1.7055,             0.00019607,             0.00019607,             0.00019607
                     15,                0.69635,                 1.1684,                 1.6735,                 1.1712,                0.87954,                0.35557,                0.61314,                0.40144,                0.86045,                0.34455,                0.56503,                 0.4031,                 1.2387,                  2.746,                 3.0692,                  1.621,             0.00018113,             0.00018113,             0.00018113
                     16,                0.69315,                 1.1368,                  1.604,                 1.1591,                 0.7289,                0.34709,                0.62801,                0.40563,                0.72089,                0.34068,                0.60536,                0.45012,                 1.2395,                 2.4335,                 3.0071,                 1.6433,             0.00016223,             0.00016223,             0.00016223
                     17,                0.65163,                 1.0406,                 1.5724,                  1.126,                0.84397,                0.41097,                0.66447,                0.46945,                0.84915,                0.41181,                0.64715,                0.48327,                  1.159,                  2.413,                 2.9222,                 1.5475,             0.00013936,             0.00013936,             0.00013936
                     18,                0.63162,                 1.0214,                 1.4971,                 1.1269,                0.83919,                0.52252,                 0.6746,                0.49265,                0.83243,                0.52692,                0.66537,                0.50086,                 1.1659,                 2.4021,                 2.8013,                 1.5529,             0.00011254,             0.00011254,             0.00011254
                     19,                0.62516,                0.98008,                 1.4756,                 1.1063,                0.78845,                0.52809,                0.68191,                0.48759,                0.77844,                0.52845,                0.66005,                0.50221,                 1.1403,                 2.2499,                 2.7228,                 1.5312,              8.175e-05,              8.175e-05,              8.175e-05
                     20,                0.61089,                0.95381,                 1.4326,                 1.0971,                0.79404,                 0.5782,                0.70601,                0.50493,                0.77567,                0.56646,                0.67902,                0.51986,                 1.1052,                 2.0943,                    2.6,                  1.488,             4.7005e-05,             4.7005e-05,             4.7005e-05
