(활)겉삐뚜리,장항,20미,box,1,"63,000","63,000","63,000",2012-04-03,,,
(선)깐홍합,여수,소,box,221,"15,000","10,000","12,900",2012-04-03,,,
(냉)낙지,중국,중,CT/(BT),5,"35,000","35,000","35,000",2012-04-03,,,
(선)민대구,제주도,중,S/P,9,"70,000","50,000","67,800",2012-04-03,,,
(선)방어,부산(기장),중,S/P,3,"15,000","15,000","15,000",2012-04-03,,,
(냉)아귀,중국,4미,CT/(BT),150,"40,000","35,000","35,700",2012-04-03,,,
(냉)아귀,중국,5미,CT/(BT),5,"90,000","90,000","90,000",2012-04-03,,,
(냉)오징어,후포,중,S/P,20,"26,000","26,000","26,000",2012-04-03,,,
(활)우럭,흑산도,중,kg,472.1,"8,000","5,000","6,000",2012-04-03,,,
(선)은갈치,제주도,2미,S/P,10,"105,000","100,000","100,500",2012-04-03,,,
(선)은갈치,제주도,20미,S/P,9,"50,000","47,000","48,700",2012-04-03,,,
(선)은갈치,제주도,11미,S/P,1,"155,000","155,000","155,000",2012-04-03,,,
(선)은갈치,제주도,6미,S/P,11,"165,000","85,000","157,700",2012-04-03,,,
(활)전복,고흥,8/9미,kg,11.7,"61,000","61,000","61,000",2012-04-03,,,
(활)전복,완도,10/11미,kg,21,"46,000","45,000","45,500",2012-04-03,,,
(선)참조기,제주도,160미,S/P,2,"75,000","70,000","72,500",2012-04-03,,,
(선)청어,죽변,20미,S/P,300,"4,000","4,000","4,000",2012-04-03,,,
(냉건)코다리명태,러시아,4X12,CT/(BT),12,"34,000","34,000","34,000",2012-04-03,,,
(선)홍어,중국,8미,S/P,9,"100,000","100,000","100,000",2012-04-03,,,
(냉)홍어,(원양)아르헨티나,중,PAN(펜),25,"70,000","70,000","70,000",2012-04-03,,,
(선)간재미,제주도,3미,S/P,1,"33,000","33,000","33,000",2012-04-03,,,
(활)겉삐뚜리,인천,중,그물망,20,"63,000","63,000","63,000",2012-04-03,,,
(선)골뱅이,속초,중,S/P,260,"7,000","7,000","7,000",2012-04-03,,,
(선)낙지,제주도,9미,box,10,"58,000","58,000","58,000",2012-04-03,,,
(선)문어,속초,특대,포,13,"30,000","12,000","18,900",2012-04-03,,,
(선)병어,부산(기장),34미,S/P,1,"300,000","300,000","300,000",2012-04-03,,,
(활)봉바지락,기타(국내),대,box,80,"7,500","7,100","7,300",2012-04-03,,,
(선)붉은대게,속초,중,S/P,18,"5,000","5,000","5,000",2012-04-03,,,
(활)새조개,남해,대,box,29,"55,000","55,000","55,000",2012-04-03,,,
(활)소라,여수,대,box,16,"200,000","130,000","134,400",2012-04-03,,,
(냉)적어,중앙아프리카공화국,중,CT/(BT),69,"30,000","30,000","30,000",2012-04-03,,,
(활)전복,완도,6미,kg,10.9,"83,000","83,000","83,000",2012-04-03,,,
(활)전복,완도,11미,kg,77.4,"42,000","38,000","39,600",2012-04-03,,,
(활)전복,완도,23/24미,kg,11,"26,000","26,000","26,000",2012-04-03,,,
(활)전복,완도,중,kg,350,"24,000","24,000","24,000",2012-04-03,,,
(선)쭈꾸미,군산,중,box,3,"13,000","13,000","13,000",2012-04-03,,,
(활)참돔,제주도,중,kg,17.9,"22,000","1,000","15,700",2012-04-03,,,
(활)참돔,일본,중,kg,"1,139","20,500","3,000","16,300",2012-04-03,,,
(냉)청복,마산,중,CT/(BT),5,"15,000","15,000","15,000",2012-04-03,,,
(선)청어,통영,중,S/P,27,"8,000","8,000","8,000",2012-04-03,,,
(활)감숭어,여수,중,kg,885,"7,000",700,"3,800",2012-04-03,,,
(선)민어,목포,대,S/P,305,"7,500","5,000","5,900",2012-04-03,,,
(선)민어,완도,중,kg,98.5,"7,000","7,000","7,000",2012-04-03,,,
(선)병어,삼천포,44미,S/P,1,"250,000","250,000","250,000",2012-04-03,,,
(선)병어,통영,38미,S/P,1,"350,000","350,000","350,000",2012-04-03,,,
(선)병어,부산(기장),42미,S/P,3,"230,000","230,000","230,000",2012-04-03,,,
(선)복어,통영,중,S/P,3.6,"19,000","13,000","15,200",2012-04-03,,,
(선)복어,제주도,중,S/P,62.3,"19,000","12,000","16,400",2012-04-03,,,
(냉)부세,중국,300/400,CT/(BT),100,"29,900","29,900","29,900",2012-04-03,,,
(선)아귀,중국,9미,S/P,8,"15,000","15,000","15,000",2012-04-03,,,
(냉)오징어,후포,20미,S/P,300,"33,000","31,500","32,500",2012-04-03,,,
(선)우럭,충무,중,kg,390,"6,000","2,000","4,700",2012-04-03,,,
(선)은갈치,제주도,8미,S/P,6,"185,000","162,000","169,800",2012-04-03,,,
(활)전복,고흥,22미,kg,11.3,"25,000","25,000","25,000",2012-04-03,,,
(활)전복,완도,17/18미,kg,10.7,"28,000","28,000","28,000",2012-04-03,,,
(활)전복,완도,27/28미,kg,21.8,"24,000","23,000","23,500",2012-04-03,,,
(선)참조기,제주도,75미,S/P,1,"800,000","800,000","800,000",2012-04-03,,,
(냉)철갑복,기타(원양),중,CT/(BT),2,"50,000","50,000","50,000",2012-04-03,,,
(선)키조개,장항,대,box,8,"36,000","36,000","36,000",2012-04-03,,,
(선)홍어,중국,7미,S/P,8,"100,000","100,000","100,000",2012-04-03,,,
(선)고등어,부산(기장),30미,S/P,81,"15,000","15,000","15,000",2012-04-03,,,
(선)금태,제주도,중,S/P,14,"130,000","20,000","64,200",2012-04-03,,,
(선)깐굴,남해,소,box,189,"12,000","10,700","11,300",2012-04-03,,,
(선)깐바지락,여수,대,box,19,"115,000","115,000","115,000",2012-04-03,,,
(냉)꽁치,태평양,2L,CT/(BT),200,"18,000","18,000","18,000",2012-04-03,,,
(선)낙지,중국,12미,box,24,"35,000","35,000","35,000",2012-04-03,,,
(활)도다리,충무,중,kg,4.4,"22,000","18,000","20,700",2012-04-03,,,
(선)명태,일본,12미,S/P,5,"60,000","60,000","60,000",2012-04-03,,,
(활)물바지락,남해,대,box,23,"30,000","30,000","30,000",2012-04-03,,,
(냉)삼치,마산,3단,CT/(BT),215,"75,200","75,200","75,200",2012-04-03,,,
(냉)수꽃게,안흥,5단,CT/(BT),56,"35,000","35,000","35,000",2012-04-03,,,
(선)은갈치,제주도,4미,S/P,14,"163,000","140,000","161,400",2012-04-03,,,
(활)전복,완도,9/10미,kg,11,"43,000","43,000","43,000",2012-04-03,,,
(선)참돔,완도,중,kg,37.4,"17,000","10,000","16,200",2012-04-03,,,
(선)청복,부산(기장),중,S/P,10,"75,000","75,000","75,000",2012-04-03,,,
(활)토바지락,중국,대,box,320,"6,700","4,800","5,800",2012-04-03,,,
(선)홍다리얼룩새우,태국,30미,kg,50,"17,000","17,000","17,000",2012-04-03,,,
(선)홍어,목포,대,S/P,24.6,"5,000","4,700","4,800",2012-04-03,,,
(냉)홍어,(원양)칠레,중,PAN(펜),20,"130,000","130,000","130,000",2012-04-03,,,
(냉)홍어,포클랜드,중,PAN(펜),20,"50,000","50,000","50,000",2012-04-03,,,
(선)가오리,포항,중,S/P,11,"12,000","12,000","12,000",2012-04-03,,,
(활)가자미,서산,중,kg,459.8,"14,000","6,000","8,800",2012-04-03,,,
(선)금태,부산(기장),24미,S/P,1,"150,000","150,000","150,000",2012-04-03,,,
(선)깐굴,통영,소,box,935,"19,000","5,000","11,400",2012-04-03,,,
(활)농어,서산,중,kg,5.8,"15,000","15,000","15,000",2012-04-03,,,
(냉)명태,(원양)러시아,8통,PAN(펜),500,"15,300","15,300","15,300",2012-04-03,,,
(선)민대구,제주도,13미,S/P,1,"55,000","55,000","55,000",2012-04-03,,,
(선)삼치,통영,10미,S/P,6,"10,000","10,000","10,000",2012-04-03,,,
(선)삼치,부산(기장),8미,S/P,209,"33,000","27,000","30,900",2012-04-03,,,
(선)아귀,제주도,소,S/P,8,"40,000","32,000","34,900",2012-04-03,,,
(선)아귀,중국,5미,S/P,1,"30,000","30,000","30,000",2012-04-03,,,
(냉)암꽃게,서산,4단,CT/(BT),100,"50,000","50,000","50,000",2012-04-03,,,
(냉)오징어,부산(기장),20미,S/P,100,"29,000","29,000","29,000",2012-04-03,,,
