(냉)고등어,기타(국내),32미,CT/(BT),20,"17,800","17,800","17,800",2021-12-01
(선)깐홍합,여수,소,box,28,"28,000","26,300","26,700",2021-12-01
(선)농어,통영,대,S/P,1,"30,000","30,000","30,000",2021-12-01
(활)문어,목포,중,kg,107.7,"15,000","13,500","13,600",2021-12-01
(선)민어,완도,중,S/P,3.9,"11,000","11,000","11,000",2021-12-01
(선)백조기,나로도,12미,S/P,1,"10,000","10,000","10,000",2021-12-01
(선)볼락,나로도,8미,S/P,1,"23,000","23,000","23,000",2021-12-01
(냉)부세,중국,400/500,CT/(BT),50,"22,800","22,800","22,800",2021-12-01
(냉)부세,중국,300/400,CT/(BT),50,"21,200","21,200","21,200",2021-12-01
(선)삼치,제주도,5미,S/P,1,"36,000","36,000","36,000",2021-12-01
(선)아귀,나로도,1미,S/P,8,"18,000","18,000","18,000",2021-12-01
(선)은갈치,제주도,8미,S/P,50,"135,000","110,000","122,500",2021-12-01
(선)은갈치,제주도,20미,S/P,30,"35,000","35,000","35,000",2021-12-01
(선)은갈치,제주도,2미,S/P,1,"90,000","90,000","90,000",2021-12-01
(선)은갈치,제주도,25미,S/P,25,"28,000","28,000","28,000",2021-12-01
(선)은갈치,제주도,6미,S/P,23,"160,000","135,000","145,700",2021-12-01
(선)쭈꾸미,군산,중,box,35,"30,000","25,000","28,300",2021-12-01
(활)참돔,일본,중,kg,956.1,"20,000","8,000","16,600",2021-12-01
(선)참돔,완도,중,S/P,5.6,"10,000","10,000","10,000",2021-12-01
(선)참돔,일본,중,kg,20.6,"5,000","3,000","4,000",2021-12-01
(선)깐굴,통영,소,box,80,"50,000","33,000","37,800",2021-12-01
(선)깐굴,남해,소,box,235,"58,000","16,000","35,900",2021-12-01
(선)낙지,중국,5미,box,30,"13,000","12,000","12,500",2021-12-01
(냉)명태,러시아,5통,PAN(펜),20,"34,300","34,300","34,300",2021-12-01
(선)민어,제주도,10미,S/P,22,"10,000","10,000","10,000",2021-12-01
(활)방어,동해시,중,kg,997.9,"20,000","2,500","9,900",2021-12-01
(선)방어,동해시,중,kg,182.4,"4,000","1,300","2,700",2021-12-01
(선)백조기,나로도,8미,S/P,1,"15,000","15,000","15,000",2021-12-01
(선)볼락,나로도,10미,S/P,1,"21,000","21,000","21,000",2021-12-01
(선)삼치,제주도,4미,S/P,16,"39,000","27,000","33,200",2021-12-01
(선)아귀,나로도,4미,S/P,7,"20,000","18,000","18,300",2021-12-01
(선)아귀,방어진,8미,S/P,8,"21,000","21,000","21,000",2021-12-01
(활)암꽃게,격포,대,kg,90,"26,000","25,500","25,900",2021-12-01
(선)은갈치,제주도,4미,S/P,2,"150,000","140,000","145,000",2021-12-01
(활)전복,완도,17/18미,kg,72.6,"22,500","22,500","22,500",2021-12-01
(활)전복,완도,40/41미,kg,30,"7,000","7,000","7,000",2021-12-01
(활)전복,완도,30/31미,kg,30,"17,000","17,000","17,000",2021-12-01
(선)쭈꾸미,장항,중,box,20,"45,500","37,000","42,100",2021-12-01
(선)참조기,제주도,중,S/P,9,"250,000","130,000","190,000",2021-12-01
(활)칼바지락,중국,중,box,110,"11,000","7,000","9,000",2021-12-01
(선)간재미,완도,중,S/P,70,500,500,500,2021-12-01
(선)갈치,목포,10미,S/P,2,"80,000","80,000","80,000",2021-12-01
(활)개조개,여수,18미,box,10,"62,000","51,000","55,400",2021-12-01
(선)깐바지락,삼천포,소,box,32,"30,000","25,000","27,200",2021-12-01
(선)깐홍합,마산,소,box,43,"25,500","23,100","24,100",2021-12-01
(선)미더덕,마산,소,box,11,"12,000","9,000","10,000",2021-12-01
(선)민어,제주도,중,S/P,3.4,"12,000","12,000","12,000",2021-12-01
(활)방어,고성,중,kg,466.4,"20,000","3,000","8,600",2021-12-01
(선)백조기,나로도,10미,S/P,1,"18,000","18,000","18,000",2021-12-01
(선)볼락,나로도,15미,S/P,1,"15,000","15,000","15,000",2021-12-01
(선)아귀,군산,중,c/s(상자),40,"6,000","6,000","6,000",2021-12-01
(활)암꽃게,태안,대,kg,25,"34,000","33,000","33,400",2021-12-01
(냉)임연수어,러시아,L,CT/(BT),80,"51,400","51,400","51,400",2021-12-01
(선)잡어,통영,중,S/P,7.7,"4,000","3,000","3,500",2021-12-01
(활)전복,완도,2/3미,kg,3.1,"72,000","72,000","72,000",2021-12-01
(활)전복,완도,50/60미,kg,33.6,"5,000","5,000","5,000",2021-12-01
(활)참돔,통영,중,kg,142.8,"60,000","5,000","17,300",2021-12-01
(활)참숭어,목포,중,kg,150.3,"8,000","1,000","4,600",2021-12-01
(활)해삼,통영,소,box,13,"32,200","15,000","21,600",2021-12-01
(활)해삼,여수,소,box,3,"18,000","18,000","18,000",2021-12-01
(선)간재미,인천,중,S/P,800,"1,800",300,900,2021-12-01
(활)개조개,여수,15미,box,2,"62,200","62,200","62,200",2021-12-01
(선)깐굴,사천,소,box,43,"22,000","20,000","21,100",2021-12-01
(선)깐굴,삼천포,소,box,226,"51,000","35,500","42,900",2021-12-01
(선)꼴뚜기,장항,소,box,26,"16,500","16,000","16,200",2021-12-01
(활)농어,통영,중,kg,12.8,"35,000","10,000","26,800",2021-12-01
(선)대포오징어,포항,대,S/P,1,"50,000","50,000","50,000",2021-12-01
(선)만디,여수,소,box,281,"8,200","3,000","6,100",2021-12-01
(활)메지,통영,1미,kg,456,"1,100",200,700,2021-12-01
(활)방어,통영,중,kg,241,"35,000","1,500","19,200",2021-12-01
(선)볼락,나로도,12미,S/P,1,"15,000","15,000","15,000",2021-12-01
(선)분홍새우,속초,중,S/P,22,"40,000","30,000","30,900",2021-12-01
(선)아귀,나로도,5미,S/P,1,"14,000","14,000","14,000",2021-12-01
(선)아귀,나로도,2미,S/P,16,"18,000","18,000","18,000",2021-12-01
(냉)오징어,중국,10미,CT/(BT),50,"14,900","14,900","14,900",2021-12-01
(선)은갈치,제주도,7미,S/P,21,"150,000","120,000","131,400",2021-12-01
(활)전갱이,일본,중,kg,269.9,"31,000","1,000","16,400",2021-12-01
(활)전복,완도,8/9미,kg,45.1,"37,000","36,000","36,800",2021-12-01
(활)피꼬막(피조개),군산,중,그물망,1,"55,000","55,000","55,000",2021-12-01
(선)홍어,방어진,중,S/P,1,"5,000","5,000","5,000",2021-12-01
(선)금태,제주도,28미,S/P,20,"40,000","40,000","40,000",2021-12-01
(선)꼴뚜기,여수,10봉,box,2,"95,000","95,000","95,000",2021-12-01
(선)낙지,중국,15미,box,50,"22,200","19,000","20,700",2021-12-01
(선)낙지,중국,17미,box,73,"17,500","17,500","17,500",2021-12-01
(선)다랑어,죽변,대,S/P,1,"60,000","60,000","60,000",2021-12-01
(선)만디,마산,소,box,40,"10,000","8,800","9,000",2021-12-01
(선)민어,제주도,2미,S/P,9.2,"12,000","12,000","12,000",2021-12-01
(선)방어,일본,중,kg,33.5,"12,000","2,000","9,200",2021-12-01
(선)삼치,포항,대,S/P,13,"100,000","100,000","100,000",2021-12-01
(활)수꽃게,태안,소소,kg,52,"8,500","8,500","8,500",2021-12-01
(선)아귀,방어진,4미,S/P,26,"21,000","21,000","21,000",2021-12-01
(활)암꽃게,태안,소,kg,130,"15,000","15,000","15,000",2021-12-01
(활)암꽃게,태안,중,kg,60,"26,000","25,000","25,800",2021-12-01
(선)옥돔,제주도,12미,S/P,30,"50,000","50,000","50,000",2021-12-01
(선)왕게,러시아,중,kg,4.5,"28,000","25,000","26,800",2021-12-01
(활)전복,완도,3/4미,kg,7.4,"65,000","65,000","65,000",2021-12-01
(활)전복,완도,12/13미,kg,102.8,"25,000","24,000","24,900",2021-12-01
(활)점성어,중국,중,kg,64.8,"10,000","1,000","7,400",2021-12-01
(선)참조기,제주도,28미,S/P,6,"55,000","55,000","55,000",2021-12-01
(선)참조기,제주도,24미,S/P,6,"55,000","55,000","55,000",2021-12-01
(선)갈치,목포,8미,S/P,3,"250,000","210,000","223,300",2021-12-01
(선)갑오징어,안흥,중,kg,9.5,"1,000","1,000","1,000",2021-12-01
(활)겉우렁(큰구슬우렁이),군산,대,box,8,"15,000","15,000","15,000",2021-12-01
(활)게,태안,중,CT/(BT),27,"24,000","24,000","24,000",2021-12-01
(선)금태,제주도,27미,S/P,10,"40,000","40,000","40,000",2021-12-01
(선)낙지,중국,11미,box,50,"17,000","17,000","17,000",2021-12-01
(선)낙지,중국,7미,box,55,"19,200","15,000","15,700",2021-12-01
(활)백합,장항,중,그물망,2,"176,200","176,200","176,200",2021-12-01
(선)병어,나로도,10미,S/P,1,"20,000","20,000","20,000",2021-12-01
(활)수꽃게,태안,소,kg,180,"10,500","10,500","10,500",2021-12-01
(선)아귀,방어진,5미,S/P,7,"21,000","21,000","21,000",2021-12-01
(활)암꽃게,진도,대,kg,100,"17,000","15,000","15,400",2021-12-01
(선)오징어,죽변,중,S/P,25,"87,000","87,000","87,000",2021-12-01
(활)우럭,완도,중,kg,18.4,"28,000","23,000","26,900",2021-12-01
(선)은갈치,제주도,26미,S/P,20,"22,000","22,000","22,000",2021-12-01
(선)은갈치,제주도,3미,S/P,2,"135,000","135,000","135,000",2021-12-01
(활)전복,완도,6/7미,kg,8.8,"40,000","40,000","40,000",2021-12-01
(활)전복,완도,15/16미,kg,88.5,"24,000","24,000","24,000",2021-12-01
(활)진주담치,마산,중,그물망,35,"11,100","10,000","10,300",2021-12-01
(활)피꼬막(피조개),장항,중,그물망,3,"55,000","55,000","55,000",2021-12-01
(선)깐굴,여수,소,box,6,"11,000","11,000","11,000",2021-12-01
(선)낙지,중국,16미,box,17,"17,500","17,500","17,500",2021-12-01
(활)넙치,제주도,중,kg,222.1,"26,500","20,000","22,300",2021-12-01
(활)넙치,완도,중,kg,310.7,"25,000","23,000","24,000",2021-12-01
(활)농어,일본,중,kg,52.1,"21,000","7,000","15,900",2021-12-01
(활)농어,중국,중,kg,9.3,"5,000","5,000","5,000",2021-12-01
