(냉)갈치,오만,700/900,CT/(BT),50,"72,600","72,600","72,600",2023-05-17
(선)갑오징어,보령,8미,c/s(상자),62,"100,000","95,000","99,200",2023-05-17
(활)개조개,여수,대,box,11,"82,500","58,500","69,700",2023-05-17
(선)갯가재,군산,소,box,9,"27,000","25,700","25,900",2023-05-17
(선)게발,태안,중,S/P,1,"17,000","17,000","17,000",2023-05-17
(선)깐홍합,여수,소,box,46,"15,100","6,500","10,800",2023-05-17
(선)농어,남해,대,S/P,1,"8,000","8,000","8,000",2023-05-17
(활)돌게,태안,중,kg,35,"12,500","12,500","12,500",2023-05-17
(활)민어,완도,중,kg,253.8,"30,000","10,000","19,500",2023-05-17
(선)백조기,나로도,12미,S/P,5,"16,000","16,000","16,000",2023-05-17
(냉)오징어,(원양)포클랜드,M2,PAN(펜),10,"147,800","147,800","147,800",2023-05-17
(선)은갈치,제주도,20미,S/P,26,"95,000","13,000","19,400",2023-05-17
(선)은갈치,제주도,6미,S/P,40,"152,000","125,000","141,100",2023-05-17
(선)은갈치,제주도,2미,S/P,7,"100,000","65,000","95,000",2023-05-17
(활)전복,완도,10/11미,kg,67.6,"22,000","22,000","22,000",2023-05-17
(활)전복,완도,22미,kg,33.1,"15,000","13,000","14,000",2023-05-17
(활)전복,완도,6미,kg,11.7,"34,000","34,000","34,000",2023-05-17
(선)쭈꾸미,중국,25미,box,60,"23,600","23,000","23,300",2023-05-17
(활)참돔,일본,중,kg,"2,088","19,000","3,500","13,800",2023-05-17
(선)황석어,목포,대,S/P,50,"60,000","18,000","27,000",2023-05-17
(활)가리비,마산,중,box,1,"17,100","17,100","17,100",2023-05-17
(활)겉삐뚜리,보령,중,그물망,1,"15,500","15,500","15,500",2023-05-17
(활)낙지,영흥도,20미,미(마리),200,"3,900","3,700","3,800",2023-05-17
(활)농어,목포,중,kg,258.4,"18,000","5,000","11,100",2023-05-17
(활)농어,군산,중,kg,14.5,"11,000","6,000","7,300",2023-05-17
(활)동죽,중국,대,box,5,"15,000","10,000","12,300",2023-05-17
(선)민어,완도,중,kg,316.2,"18,000","8,000","13,700",2023-05-17
(선)백조기,나로도,18미,S/P,2,"14,000","14,000","14,000",2023-05-17
(선)볼락,나로도,8미,S/P,1,"22,000","22,000","22,000",2023-05-17
(활)소라,영흥도,중,그물망,23,"41,000","41,000","41,000",2023-05-17
(선)아귀,나로도,1미,S/P,2,"25,000","25,000","25,000",2023-05-17
(활)암꽃게,고흥,대,kg,6,"38,000","38,000","38,000",2023-05-17
(활)암꽃게,고흥,소,kg,4,"23,000","23,000","23,000",2023-05-17
(선)열기,완도,중,kg,175,"9,000","6,000","7,300",2023-05-17
(활)왕게,러시아,중,kg,399.1,"85,000","11,000","65,200",2023-05-17
(활)우럭,대천,중,kg,135.5,"25,000","10,000","13,300",2023-05-17
(선)은갈치,제주도,8미,S/P,33,"150,000","70,000","141,200",2023-05-17
(활)전복,완도,11미,kg,35.5,"24,000","24,000","24,000",2023-05-17
(활)참돔,서천,중,kg,307.4,"18,000","3,000","10,200",2023-05-17
(선)참돔,일본,중,kg,76.7,"5,000",300,"2,000",2023-05-17
(선)가자미,목포,대,S/P,19.8,"5,000",100,"3,200",2023-05-17
(활)감숭어,여수,중,kg,40.5,"4,000","3,500","3,700",2023-05-17
(선)갑오징어,여수,중,kg,47,"12,000","3,000","5,500",2023-05-17
(활)낙지,보령,20미,미(마리),480,"7,600","3,700","4,200",2023-05-17
(선)낙지,중국,5미,box,52,"15,500","13,500","13,600",2023-05-17
(선)낙지,중국,12미,box,89,"17,600","13,500","16,600",2023-05-17
(선)넙치,통영,중,S/P,18.5,"1,000",200,500,2023-05-17
(활)도다리,대천,중,kg,91.1,"19,000","1,000","15,200",2023-05-17
(선)돔,제주도,20미,S/P,10,"22,000","22,000","22,000",2023-05-17
(활)동죽,장항,중,그물망,3,"31,500","31,500","31,500",2023-05-17
(선)멸치,대부도,대,S/P,57,"18,000","16,000","16,800",2023-05-17
(선)수꽃게,진도,대,S/P,2,"72,000","50,000","61,000",2023-05-17
(선)암꽃게,태안,대,S/P,1,"135,000","135,000","135,000",2023-05-17
(선)은갈치,제주도,4미,S/P,22,"145,000","90,000","135,000",2023-05-17
(활)전복,완도,9/10미,kg,46,"26,000","22,000","24,100",2023-05-17
(활)전복,완도,17/18미,kg,166.3,"18,000","15,000","17,200",2023-05-17
(활)참돔,대천,소,kg,3.1,"1,000","1,000","1,000",2023-05-17
(선)청어,임원,대,S/P,28,"17,000","17,000","17,000",2023-05-17
(선)키조개,장항,대,box,33,"82,500","41,200","54,900",2023-05-17
(선)홍어,목포,대,S/P,143.9,"9,500","6,500","9,100",2023-05-17
(선)가자미,완도,중,kg,16.2,"2,500","2,500","2,500",2023-05-17
(선)갑오징어,군산,중,kg,217,"20,000","3,000","12,900",2023-05-17
(활)개조개,통영,19미,box,2,"78,100","78,100","78,100",2023-05-17
(선)금태,방어진,28미,S/P,1,"250,000","250,000","250,000",2023-05-17
(선)금태,부산(기장),24미,S/P,1,"550,000","550,000","550,000",2023-05-17
(선)깐굴,통영,소,box,66,"13,500","10,500","11,800",2023-05-17
(선)대구,속초,4미,S/P,69,"20,000","10,000","11,700",2023-05-17
(선)민어,제주도,3미,S/P,2,"227,500","162,500","195,000",2023-05-17
(선)백조기,나로도,8미,S/P,5,"16,000","15,000","15,400",2023-05-17
(활)암꽃게,격포,대,kg,68,"42,000","38,000","41,700",2023-05-17
(활)암꽃게,진도,중,kg,30,"36,000","36,000","36,000",2023-05-17
(선)암꽃게,진도,중,S/P,9,"110,000","75,000","94,400",2023-05-17
(선)암꽃게,격포,중,S/P,1,"70,000","70,000","70,000",2023-05-17
(선)양태,나로도,5미,S/P,1,"22,000","22,000","22,000",2023-05-17
(선)우럭,태안,중,kg,3.6,"7,000","7,000","7,000",2023-05-17
(활)전복,완도,10미,kg,11.9,"25,000","25,000","25,000",2023-05-17
(선)점성어,중국,중,kg,5.8,300,300,300,2023-05-17
(선)참돔,완도,중,kg,7.8,"3,000","3,000","3,000",2023-05-17
(활)참숭어,문산,중,kg,236.4,"9,000","1,500","7,200",2023-05-17
(활)칼바지락,중국,중,box,100,"3,500","1,200","1,600",2023-05-17
(활)강도다리,제주도,중,kg,6.8,"23,500","23,500","23,500",2023-05-17
(선)깐바지락,여수,소,box,112,"13,600","3,200","9,800",2023-05-17
(선)깐바지락,삼천포,소,box,196,"15,000","11,200","13,200",2023-05-17
(활)도다리,서천,중,kg,189.6,"17,000","3,000","10,200",2023-05-17
(활)도다리,태안,중,kg,160,"14,500","2,000","8,100",2023-05-17
(활)딱돔,완도,중,kg,25.8,"20,000","15,000","16,400",2023-05-17
(선)멸치,대부도,대,가구,6,"55,000","55,000","55,000",2023-05-17
(활)물바지락,삼천포,대,box,15,"55,000","33,000","41,500",2023-05-17
(선)미더덕,마산,소,box,92,"21,100","15,100","18,700",2023-05-17
(선)민어,나로도,대,S/P,1,"96,000","96,000","96,000",2023-05-17
(선)백조기,나로도,3단,S/P,1,"12,000","12,000","12,000",2023-05-17
(선)백조기,남해,4미,S/P,1,"10,000","10,000","10,000",2023-05-17
(활)소라,장항,대,box,15,"69,200","62,500","64,600",2023-05-17
(선)아귀,남해,2미,S/P,3,"3,000","3,000","3,000",2023-05-17
(활)암꽃게,태안,대,kg,252,"43,000","21,500","33,300",2023-05-17
(활)암꽃게,격포,중,kg,94,"38,000","35,000","37,000",2023-05-17
(선)암꽃게,태안,중,S/P,7,"71,000","60,000","69,400",2023-05-17
(냉)임연수어,러시아,2L,PAN(펜),30,"76,700","76,700","76,700",2023-05-17
(선)잡어,통영,중,S/P,2.6,"4,000","4,000","4,000",2023-05-17
(선)참돔,대천,중,kg,25.8,"4,000","2,000","3,000",2023-05-17
(선)간재미,안흥,중,kg,323,"2,700",600,"1,100",2023-05-17
(활)감숭어,안흥,중,kg,120.1,"8,000","4,000","5,400",2023-05-17
(선)갑오징어,목포,대,S/P,344,"10,000","3,500","6,300",2023-05-17
(활)농어,서천,중,kg,49.3,"9,000","3,000","8,400",2023-05-17
(선)다랑어,포항,대,S/P,2,"750,000","80,000","415,000",2023-05-17
(선)도다리,대천,중,kg,29.4,"3,500",200,"2,400",2023-05-17
(선)방어,강구,4미,S/P,3,"12,000","12,000","12,000",2023-05-17
(선)백조기,남해,8미,S/P,4,"7,000","7,000","7,000",2023-05-17
(선)백조기,나로도,5미,S/P,2,"20,000","20,000","20,000",2023-05-17
(선)백조기,나로도,10미,S/P,5,"18,000","17,000","17,200",2023-05-17
(선)아귀,안흥,중,kg,15.9,"2,000","1,000","1,700",2023-05-17
(선)은갈치,제주도,12미,S/P,3,"48,000","48,000","48,000",2023-05-17
(냉)은갈치,제주도,17/18미,CT/(BT),2,"275,000","275,000","275,000",2023-05-17
(활)잡어,대천,중,kg,50.8,"16,000","2,000","7,900",2023-05-17
(활)전복,완도,13미,kg,69,"20,500","17,000","19,300",2023-05-17
(선)쭈꾸미,중국,14미,box,15,"19,300","18,500","19,000",2023-05-17
(활)참돔,통영,중,kg,26,"17,000","12,000","13,700",2023-05-17
(활)피꼬막(피조개),여수,중,그물망,45,"20,100","18,100","19,400",2023-05-17
