(냉)갈치,기타(국내),100미,CT/(BT),10,"95,800","95,800","95,800",2024-04-03
(선)금태,방어진,17미,S/P,3,"450,000","450,000","450,000",2024-04-03
(선)깐홍합,여수,소,box,99,"14,000","8,100","11,700",2024-04-03
(선)꼴뚜기,여수,10봉,봉지,40,"9,200","8,700","9,100",2024-04-03
(활)문어,목포,중,kg,113.2,"25,000","16,000","22,600",2024-04-03
(활)민어,완도,중,kg,32,"28,000","18,000","20,600",2024-04-03
(선)민어,완도,중,S/P,70.6,"15,000","8,000","10,200",2024-04-03
(선)붕장어,제주도,특대,S/P,1,"41,000","41,000","41,000",2024-04-03
(냉)아귀,중국,4미,CT/(BT),50,"35,200","35,200","35,200",2024-04-03
(냉)염고등어,노르웨이,대,CT/(BT),50,"37,500","37,500","37,500",2024-04-03
(활)우럭조개,여수,6미,미(마리),12,"8,500","8,500","8,500",2024-04-03
(선)은갈치,제주도,6미,S/P,23,"190,000","117,000","158,300",2024-04-03
(선)잡어,목포,중,S/P,1,"15,000","15,000","15,000",2024-04-03
(활)전복,완도,22미,kg,73.2,"16,000","14,000","15,700",2024-04-03
(활)전복,완도,10/11미,kg,95.2,"24,500","22,500","23,600",2024-04-03
(활)전복,완도,11미,kg,22.8,"20,000","20,000","20,000",2024-04-03
(선)쭈꾸미,중국,12미,box,225,"22,200","20,500","21,100",2024-04-03
(활)참돔,일본,중,kg,"1,880.9","18,000","2,000","10,100",2024-04-03
(활)참돔,제주도,중,kg,234.5,"26,000","5,500","13,600",2024-04-03
(선)참돔,완도,중,S/P,123.9,"8,000","7,000","7,200",2024-04-03
(활)가리비,마산,중,box,23,"22,300","18,200","21,000",2024-04-03
(선)간재미,태안,중,kg,"1,317","4,500",500,"1,700",2024-04-03
(활)개조개,통영,25미,box,1,"88,000","88,000","88,000",2024-04-03
(선)금태,제주도,19미,S/P,4,"210,000","210,000","210,000",2024-04-03
(선)금태,제주도,21미,S/P,1,"180,000","180,000","180,000",2024-04-03
(활)낙지,대천,20미,미(마리),820,"4,600","3,800","4,200",2024-04-03
(활)낙지,영흥도,20미,미(마리),820,"6,800","3,000","4,700",2024-04-03
(선)농어,대천,중,kg,17.3,"4,000","1,000","3,100",2024-04-03
(선)다랑어,강구,2미,kg,14.2,"15,000","15,000","15,000",2024-04-03
(선)다랑어,삼척,중,S/P,9,"150,000","142,000","149,100",2024-04-03
(선)대구,동해시,2미,S/P,23,"8,000","8,000","8,000",2024-04-03
(선)도다리,안흥,중,kg,475.2,"13,000","4,000","9,800",2024-04-03
(선)민어,완도,중,kg,15.5,"15,000","11,000","13,000",2024-04-03
(활)보리새우,통영,1미,미(마리),6,"9,000","9,000","9,000",2024-04-03
(냉)부세,중국,300/400,CT/(BT),50,"24,000","24,000","24,000",2024-04-03
(활)붉바리,완도,중,kg,2.7,"110,000","40,000","84,100",2024-04-03
(선)삼치,제주도,5미,S/P,4,"154,000","70,000","117,800",2024-04-03
(선)송어,일본,중,kg,7,"4,000","4,000","4,000",2024-04-03
(활)왕게,러시아,중,kg,667.9,"97,000","15,500","77,400",2024-04-03
(선)줄무늬전갱이,일본,중,kg,13.2,"8,000","8,000","8,000",2024-04-03
(냉)가자미(H/G),러시아,200/300,CT/(BT),30,"15,700","15,700","15,700",2024-04-03
(선)금태,제주도,48미,S/P,2,"35,000","35,000","35,000",2024-04-03
(선)낙지,중국,6미,box,18,"22,700","22,500","22,600",2024-04-03
(선)낙지,중국,5미,box,50,"17,500","17,500","17,500",2024-04-03
(활)농어,목포,중,kg,28.3,"19,000","2,500","12,600",2024-04-03
(선)다랑어,죽변,2미,kg,47.5,"14,000","14,000","14,000",2024-04-03
(활)도다리,대천,중,kg,408.3,"18,000","1,500","14,100",2024-04-03
(선)돔,제주도,20미,S/P,8,"27,000","27,000","27,000",2024-04-03
(활)문어,제주도,중,kg,61.2,"20,000","18,000","18,900",2024-04-03
